"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha_CORRECT","Graze_FluxDensity_mean_MgC/ha_CORRECT","Crop_FluxDensity_mean_MgC/ha_WRONG","Graze_FluxDensity_mean_MgC/ha_WRONG","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"152","MYS","Malaysia",2341157.39905453,302610.947781239,NA,NA,0.242996415706381,1.39876524966144,NA,NA,16.0084175123342,14.9503084466736,13.8951056587976,13.170606578815,6.00554411030101,17.3548943412024,21.0123690232915,31.2291272732072
"153","MYT","Mayotte",4.09474301643848,0,0.312929183340945,NA,0.209760924975077,NA,0.436173553466797,NA,15.0769230769231,10.6,NA,NA,10.4,NA,21,31.25
"154","NAM","Namibia",5612142.60759502,114512293.777229,0.322749032139322,0.109574038770207,0.23090501980608,0.0767599633745055,579618.841962673,34835591.5514435,1.39551740645649,0.526954454491883,0.492552711374476,0.471157006578589,22.8195324799155,10.2816140218504,11.9305608378201,13.1900687208602
"155","NCL","New Caledonia",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7469312465384,29.4604822674375
"156","NER","Niger",71808593.3049727,126755098.193209,0.300137518476335,0.239328703795795,0.219213221558328,0.173468329410078,7975076.85471569,17654254.8919612,1.10138947793568,0.0276733648474153,0.0700764647576372,0.0678078221230305,24.1208327420858,25.8194268428199,15.6241267421314,17.0044973848745
"157","NFK","Norfolk Island",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"158","NGA","Nigeria",654651370.313686,96851667.4622407,0.693795684106875,0.546361312330404,0.51288306938145,0.403539101522525,31452649.3082479,5908890.03768939,2.19805027076539,1.67880135326315,3.50522299721952,3.54029999125053,23.018049113919,23.3375830050858,24.659867068523,27.4275704205208
"159","NIC","Nicaragua",3820470.04715983,11562529.9854343,NA,0.903180878001921,0.576416426008823,0.670515282567527,NA,426733.64280452,17.443944024531,17.1818981879687,12.3504791225659,12.0026293213836,23.3457706378309,14.3781097887272,25.7217758568841,28.8720220572033
"160","NIU","Niue",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"161","NLD","Netherlands",19529058.3735034,2563212.77373449,0.73773716875039,1.11848868578653,0.369328786735628,0.556943129774874,882385.543286035,76389.1730662138,13.9274087467066,13.9542710457807,4.39165825864453,3.61933117460918,21.5795969908193,30.621265335992,35.53846154,35
